var,name,hemi,cog,cog2,sys,region_ggseg,region,python-ggseg
fflh,Fusiform Gyrus,left,visual processing,social,social,fusiform gyrus,fusiform,
ffrh,Fusiform Gyrus,right,visual processing,social,social,fusiform gyrus,fusiform,
fusiformlh,Fusiform Gyrus,left,visual processing,social,social,fusiform gyrus,fusiform,
fusiformrh,Fusiform Gyrus,right,visual processing,social,social,fusiform gyrus,fusiform,
hclh,Hippocampus,left,memory,,medial temporal lobe,hippocampus,hippocampus,
hcrh,Hippocampus,right,memory,,medial temporal lobe,hippocampus,hippocampus,
hplh,Hippocampus,left,memory,,medial temporal lobe,hippocampus,hippocampus,
hprh,Hippocampus,right,memory,,medial temporal lobe,hippocampus,hippocampus,
hpuslh,Hippocampus,left,memory,,medial temporal lobe,hippocampus,hippocampus,
hpusrh,Hippocampus,right,memory,,medial temporal lobe,hippocampus,hippocampus,
parsopclh,Inferior Frontal Gyrus- Pars Opercularis,left,language,,language,inferior frontal gyrus- pars opercularis,pars opercularis,
parsopcrh,Inferior Frontal Gyrus- Pars Opercularis,right,language,,language,inferior frontal gyrus- pars opercularis,pars opercularis,
parsopllh,Inferior Frontal Gyrus- Pars Opercularis,left,language,,language,inferior frontal gyrus- pars opercularis,pars opercularis,
parsoplrh,Inferior Frontal Gyrus- Pars Opercularis,right,language,,language,inferior frontal gyrus- pars opercularis,pars opercularis,
poplh,Inferior Frontal Gyrus- Pars Opercularis,left,language,,language,inferior frontal gyrus- pars opercularis,pars opercularis,
poprh,Inferior Frontal Gyrus- Pars Opercularis,right,language,,language,inferior frontal gyrus- pars opercularis,pars opercularis,
parsobalislh,Inferior Frontal Gyrus- Pars Orbitalis,left,language,,language,inferior frontal gyrus- pars orbitalis,pars orbitalis,
parsobalisrh,Inferior Frontal Gyrus- Pars Orbitalis,right,language,,language,inferior frontal gyrus- pars orbitalis,pars orbitalis,
parsobislh,Inferior Frontal Gyrus- Pars Orbitalis,left,language,,language,inferior frontal gyrus- pars orbitalis,pars orbitalis,
parsobisrh,Inferior Frontal Gyrus- Pars Orbitalis,right,language,,language,inferior frontal gyrus- pars orbitalis,pars orbitalis,
poblh,Inferior Frontal Gyrus- Pars Orbitalis,left,language,,language,inferior frontal gyrus- pars orbitalis,pars orbitalis,
pobrh,Inferior Frontal Gyrus- Pars Orbitalis,right,language,,language,inferior frontal gyrus- pars orbitalis,pars orbitalis,
parstgrislh,Inferior Frontal Gyrus- Pars Triangularis,left,language,,language,inferior frontal gyrus- pars triangularis,pars triangularis,
